,uid,location,age,rating
0,16,"albuquerque, new mexico, usa",,9
1,107,"lethbridge, alberta, canada",,8
2,141,"darien, new york, usa",,10
3,226,"new york, new york, usa",,8
4,256,"boston, massachusetts, usa",,9
5,300,"newport news, virginia, usa",,9
6,523,"bozeman, montana, usa",19.0,8
7,677,"baton rouge, louisiana, usa",27.0,8
8,771,"ft. sill, oklahoma, usa",38.0,10
9,778,"bradenton, florida, usa",,10
10,938,"calgary, alberta, canada",55.0,9
11,1022,"newport news, virginia, usa",,10
12,1054,"burnsville, minnesota, usa",37.0,8
13,1124,"brooklyn, new york, usa",,8
14,1178,"heidelberg, baden-wuerttemberg, germany",9.0,10
15,1178,"heidelberg, baden-wuerttemberg, germany",9.0,9
16,1180,"storrs, connecticut, usa",23.0,10
17,1210,"new york, new york, usa",,9
18,1214,"speicher, rheinland-pfalz, germany",30.0,8
19,1250,"arlington, virginia, usa",44.0,8
20,1376,"peoria, illinois, usa",,8
21,1376,"peoria, illinois, usa",,9
22,1396,"santa barbara, california, usa",35.0,10
23,1403,"virginia beach, virginia, usa",26.0,8
24,1455,"chehalis, washington, usa",,8
25,1513,"oak hill, virginia, usa",40.0,8
26,1617,"chicago, illinois, usa",24.0,8
27,1775,"albuquerque, new mexico, usa",14.0,8
28,1791,"harrisburg, pennsylvania, usa",,8
29,1791,"harrisburg, pennsylvania, usa",,8
30,1888,"toronto, ontario, canada",,8
31,1918,"london, england, united kingdom",23.0,8
32,1989,"phoenix, arizona, usa",27.0,9
33,2035,"longwood, florida, usa",15.0,8
34,2070,"pembroke pines, florida, usa",22.0,9
35,2082,"akron, ohio, usa",14.0,8
36,2097,"arlington, massachusetts, usa",,9
37,2147,"las vegas, nevada, usa",35.0,8
38,2181,"montreal, quebec, canada",15.0,8
39,2292,"brighton, massachusetts, usa",,8
40,2312,"roanoke, virginia, usa",,8
41,2345,"london, england, united kingdom",55.0,9
42,2368,"largo, florida, usa",18.0,10
43,2461,"san francisco, california, usa",59.0,9
44,2481,"st. louis, missouri, usa",,9
45,2481,"st. louis, missouri, usa",,8
46,2759,"woodstock, new york, usa",,10
47,2844,"clinton township, michigan, usa",,8
48,3048,"klamath falls, oregon, usa",,10
49,3060,"bartlett, tennessee, usa",,8
50,3061,"st. louis, missouri, usa",19.0,8
51,3087,"berthoud, colorado, usa",20.0,9
52,3106,"memphis, tennessee, usa",,10
53,3106,"memphis, tennessee, usa",,10
54,3106,"memphis, tennessee, usa",,10
55,3106,"memphis, tennessee, usa",,8
56,3114,"girvan, scotland, united kingdom",,8
57,3172,"arlington, virginia, usa",32.0,10
58,3296,"rochester, minnesota, usa",63.0,9
59,3514,"evansville, indiana, usa",22.0,9
60,3532,"fayetteville, new york, usa",,8
61,3573,"fair lawn, new jersey, usa",32.0,9
62,3573,"fair lawn, new jersey, usa",32.0,8
63,3613,"new dundee, ontario, canada",29.0,8
64,3694,"raleigh, north carolina, usa",16.0,8
65,3782,"fairbanks, alaska, usa",,10
66,3897,"akron, pennsylvania, usa",,8
67,3943,"detroit, michigan, usa",40.0,10
68,4035,"alameda, california, usa",60.0,8
69,4077,"austin, texas, usa",,8
70,4426,"des moines, iowa, usa",,8
71,4426,"des moines, iowa, usa",,8
72,4516,"greenville, south carolina, usa",66.0,8
73,4556,"south berwick, maine, usa",,8
74,4558,"fairbanks, alaska, usa",,8
75,4599,"glendale, california, usa",,10
76,4714,"mentor, ohio, usa",22.0,9
77,4768,"belfast, northern ireland, united kingdom",44.0,10
78,4776,"yagoona, new south wales, australia",13.0,8
79,4844,"terlingua, texas, usa",,8
80,4914,"ottawa, ,",,10
81,4999,"aurora, colorado, usa",54.0,10
82,5170,"newark, california, usa",18.0,10
83,5173,"barcelona, catalunya, spain",32.0,10
84,5183,"angeles, n/a, philippines",,8
85,5409,"pottstown, pennsylvania, usa",,10
86,5492,"pittsburgh, pennsylvania, usa",48.0,9
87,5553,"london, england, united kingdom",23.0,8
88,5553,"london, england, united kingdom",23.0,8
89,5768,"boise, idaho, usa",,8
90,5946,"fountain valley, california, usa",,10
91,5955,"shasta lake, california, usa",,8
92,5958,"regina, saskatchewan, canada",37.0,8
93,5995,"rutland, vermont, usa",50.0,8
