,uid,location,age,rating
0,9,"germantown, tennessee, usa",,6
1,129,"bloomington, minnesota, usa",47.0,7
2,300,"newport news, virginia, usa",,5
3,302,"capitola, california, usa",53.0,4
4,332,"lake oswego, oregon, usa",59.0,6
5,453,"charleston, west virginia, usa",,6
6,592,"boston, massachusetts, usa",,7
7,620,"toronto, ontario, canada",45.0,6
8,695,"alphen aan den rijn, zuid holland, netherlands",,7
9,708,"duluth, minnesota, usa",,7
10,785,"burbank, california, usa",,5
11,883,"brookfield, connecticut, usa",43.0,7
12,1024,"charles town, west virginia, usa",,7
13,1038,"dallas, texas, usa",26.0,5
14,1093,"needham, massachusetts, usa",,6
15,1174,"oviedo, asturias, spain",32.0,4
16,1267,"salem, oregon, usa",,5
17,1360,"north hollywood, california, usa",36.0,7
18,1375,"dinwiddie, virginia, usa",59.0,5
19,1583,"san francisco, california, usa",48.0,5
20,1617,"chicago, illinois, usa",24.0,7
21,1641,"winston salem, north carolina, usa",22.0,7
22,2119,"hartford, connecticut, usa",,5
23,2376,"bay village, ohio, usa",38.0,6
24,2605,"marina del rey, california, usa",33.0,7
25,2611,"vero beach, florida, usa",,7
26,2670,"corpus christi, texas, usa",,7
27,3005,"mountain view, california, usa",,5
28,3071,"portland, oregon, usa",,5
29,3079,"asheville, north carolina, usa",,5
30,3362,"new york, new york, usa",,6
31,3445,"la mirada, california, usa",45.0,6
32,3588,"marion, iowa, usa",,7
33,3611,"santa rosa, california, usa",0.0,6
34,3711,"highlands ranch, colorado, usa",,7
35,3779,"homer, alaska, usa",,7
36,3814,"langhorne, pennsylvania, usa",,5
37,3814,"langhorne, pennsylvania, usa",,7
38,3836,"huntington beach, california, usa",,7
39,3865,"chandler, arizona, usa",25.0,7
40,3951,"clearwater, florida, usa",,7
41,3954,"detroit, michigan, usa",24.0,5
42,3954,"detroit, michigan, usa",24.0,7
43,3983,"north oaks, minnesota, usa",,6
44,3983,"north oaks, minnesota, usa",,5
45,4183,"anchorage, alaska, usa",57.0,6
46,4187,"wasilla, alaska, usa",35.0,7
47,4539,"box hill, victoria, australia",44.0,7
48,4821,"lagrangeville, new york, usa",44.0,6
49,4821,"lagrangeville, new york, usa",44.0,6
50,5101,"montreal, quebec, canada",,5
51,5295,"edmonds, washington, usa",,7
52,5296,"brooklyn, new york, usa",34.0,6
53,5297,"mont albert, victoria, australia",,7
54,5581,"newtown, new south wales, australia",22.0,7
55,5584,"east greenwich, rhode island, usa",,5
56,5653,"sydney, new south wales, australia",13.0,7
57,5766,"powder springs, georgia, usa",40.0,7
58,5783,"fullerton, california, usa",32.0,7
59,5809,"margate, new jersey, usa",,5
60,5817,"kansas city, kansas, usa",,7
61,5866,"rimersburg, pennsylvania, usa",,7
62,5958,"regina, saskatchewan, canada",37.0,6
63,6091,"silver spring, maryland, usa",,7
64,6169,"spring lake park, minnesota, usa",,7
65,6746,"laurel, maryland, usa",,7
66,6872,"wilton, connecticut, usa",,7
67,6884,"north liberty, indiana, usa",25.0,7
68,7021,"chula vista, california, usa",39.0,7
69,7377,"tampa, florida, usa",41.0,7
70,7384,"miami, florida, usa",28.0,6
71,7842,"strathpine, queensland, australia",44.0,7
72,7884,"marietta, georgia, usa",,7
73,7928,"durand, michigan, usa",39.0,6
74,7942,"el cajon, california, usa",17.0,5
75,8081,"manhattan beach, california, usa",,6
76,8268,"dallas, texas, usa",35.0,7
77,8278,"cortland, new york, usa",22.0,6
78,8318,"vero beach, florida, usa",25.0,6
79,8856,"forestville, california, usa",31.0,7
80,8861,"mesa, arizona, usa",,5
81,8874,"oakville, ontario, canada",23.0,5
82,8925,"belleville, michigan, usa",26.0,6
83,8933,"new albany, indiana, usa",23.0,7
84,9046,"todmorden, england, united kingdom",,7
85,9083,"mercer island, washington, usa",,4
86,9154,"san francisco, california, usa",29.0,7
87,9233,"edinburgh, scotland, united kingdom",34.0,7
88,9776,"temple hills, maryland, usa",25.0,7
89,9876,"forest hills, new york, usa",,7
90,9943,"lakewood, colorado, usa",32.0,4
91,10047,"big lake, minnesota, usa",20.0,7
92,10325,"lockport, illinois, usa",18.0,5
93,10421,"mooresville, ,",,5
94,10794,"ardmore, pennsylvania, usa",35.0,6
95,11155,"richardson, texas, usa",27.0,6
96,11378,"virginia beach, virginia, usa",45.0,7
97,11413,"bakersfield, california, usa",,5
98,11521,"st. louis, missouri, usa",24.0,7
99,11521,"st. louis, missouri, usa",24.0,7
100,11908,"prince george, british columbia, canada",20.0,6
101,11940,"maitland, florida, usa",52.0,5
102,12240,"ashland, oregon, usa",,7
103,12671,"oceanside, new york, usa",,5
104,12706,"gautier, mississippi, usa",40.0,7
105,12723,"oakland park, florida, usa",,6
106,12730,"minneapolis, minnesota, usa",27.0,4
107,12755,"oakville, washington, usa",40.0,5
108,12755,"oakville, washington, usa",40.0,5
109,13109,"pittsburgh, pennsylvania, usa",15.0,7
110,13137,"kissimmee, florida, usa",,7
111,13154,"oradell, new jersey, usa",46.0,7
112,13247,"vancouver, british columbia, canada",40.0,5
113,13894,"phoenix, ,",,6
114,13908,"avon, connecticut, usa",52.0,7
115,14083,"mechanicsburg, pennsylvania, usa",,4
116,14191,"cincinnati, ohio, usa",38.0,7
117,14241,"somewhere in pictou county, nova scotia, canada",,7
118,14395,"granada, granada, spain",21.0,5
119,14410,"charles town, west virginia, usa",58.0,7
120,14491,"orleans, ,",,5
121,14812,"maple ridge, british columbia, canada",35.0,6
122,14949,"winnipeg, manitoba, canada",,5
123,15043,"beverly farms, massachusetts, usa",,7
124,15223,"new orleans, louisiana, usa",,5
125,15225,"shepherdstown, west virginia, usa",20.0,7
126,15258,"livonia, michigan, usa",26.0,5
127,15310,"pompano beach, florida, usa",29.0,4
128,15505,"new york, new york, usa",21.0,5
129,15767,"virginia beach, virginia, usa",26.0,7
130,15803,"south pasadena, california,",,5
131,15853,"radnor, pennsylvania, usa",,6
132,16445,"augusta, georgia, usa",22.0,6
133,16498,"griffith, indiana, usa",34.0,5
134,16587,"christchurch, canterbury, new zealand",33.0,4
135,16639,"elk mound, wisconsin, usa",44.0,5
136,16665,"new brighton, pennsylvania, usa",55.0,5
137,16754,"kenner, louisiana, usa",,5
138,16780,"fredericton, new brunswick, canada",46.0,5
139,16782,"columbus, ohio, usa",53.0,5
140,16786,"no.berwick,, maine, usa",,5
141,16968,"delphos, ohio, usa",21.0,7
142,16997,"houston, texas, usa",,7
143,17012,"moss beach, california,",,7
144,17635,"portland, oregon, usa",16.0,6
145,18162,"las vegas, nevada, usa",56.0,7
146,18403,"asheville, north carolina, usa",39.0,4
147,18499,"glasgow, scotland, united kingdom",26.0,7
148,18541,"logansville, georgia, usa",36.0,4
149,18567,"little rock, arkansas, usa",20.0,7
150,18583,"denver, colorado, usa",48.0,7
151,18683,"sykesville, maryland, usa",,6
152,18685,"hyattsville, maryland, usa",,6
153,18701,"sidney, ohio, usa",48.0,7
154,18942,"cedar  hill, missouri, usa",,7
