,uid,location,age,rating
0,26,"bellevue, washington, usa",,10
1,26,"bellevue, washington, usa",,9
2,212,"manila, n/a, philippines",21.0,8
3,367,"culver city, california, usa",45.0,9
4,475,"vancouver, british columbia, canada",34.0,10
5,513,"savannah, georgia, usa",,9
6,767,"omaha, nebr,",43.0,10
7,769,"birmingham, alabama, usa",,10
8,780,"woodland hills, california, usa",,10
9,887,"castaic, california, usa",30.0,8
10,951,"aglaura, new jersey, usa",,8
11,1008,"boston, massachusetts, usa",,9
12,1022,"newport news, virginia, usa",,8
13,1079,"eugene, oregon, usa",,8
14,1087,"birmingham, alabama, usa",46.0,9
15,1140,"bridgewater, new jersey, usa",19.0,10
16,1164,"woburn, massachusetts, usa",35.0,10
17,1266,"island lake il., illinois, usa",19.0,10
18,1427,"mililani, hawaii, usa",22.0,10
19,1434,"bethel, vermont, usa",,10
20,1515,"bloomington, indiana, usa",27.0,9
21,1684,"ucluelet, british columbia, canada",,8
22,1718,"framingham, massachusetts, usa",28.0,8
23,1792,"hutchinson, kansas, usa",,8
24,1838,"glens falls, new york, usa",,9
25,2199,"launceston, tasmania, australia",25.0,9
26,2238,"san diego, california, usa",34.0,10
27,2238,"san diego, california, usa",34.0,10
28,2311,"albuquerque, new mexico, usa",,10
29,2350,"st. louis, missouri, usa",24.0,8
30,2355,"gatineau, quebec, canada",,8
31,2421,"durban, kwazulu-natal, south africa",,8
32,2481,"st. louis, missouri, usa",,8
33,2578,"burlington, ontario, canada",16.0,8
34,3079,"asheville, north carolina, usa",,8
35,3174,"flagstaff, arizona, usa",24.0,10
36,3206,"bilbao, vizcaya, spain",23.0,8
37,3209,"madrid, n/a, spain",24.0,8
38,3507,"chicago, illinois, usa",,8
39,3789,"munich, bayern, germany",25.0,10
40,3837,"san francisco, california, usa",21.0,8
41,3918,"abilene, ,",,10
42,3975,"c.m.c.h., new jersey, usa",29.0,9
43,3983,"north oaks, minnesota, usa",,8
44,4085,"stratford, connecticut, usa",,8
45,4122,"portland, oregon, usa",24.0,8
46,4278,"copenhagen, n/a, denmark",40.0,10
47,4285,"adrian, michigan, usa",50.0,8
48,4573,"santa cruz, california, usa",32.0,10
49,4686,"buenos aires, capital, argentina",,10
50,4806,"north bergen, new jersey, usa",29.0,9
51,4973,"toronto, ontario, canada",29.0,8
52,4998,"melbourne, florida, usa",18.0,9
53,5426,"greensboro, north carolina, usa",32.0,8
54,5710,"austin, texas, usa",28.0,8
55,5783,"fullerton, california, usa",32.0,8
56,5783,"fullerton, california, usa",32.0,8
57,5788,"crewe, england, united kingdom",30.0,9
58,5867,"new orleans, louisiana, usa",24.0,10
59,5887,"guatemala, guatemala, guatemala",21.0,8
60,5958,"regina, saskatchewan, canada",37.0,9
61,6069,"frederick, maryland, usa",,8
62,6114,"watton at stone, england, united kingdom",40.0,8
63,6168,"staten island, new york, usa",,10
64,6247,"memphis, tennessee, usa",26.0,10
65,6254,"enfield, connecticut, usa",,10
66,6263,"hannover, , germany",19.0,8
67,6367,"beverly hills, california, usa",,8
68,6568,"ojai, california, usa",,9
69,6635,"boise, ,",22.0,8
70,6689,"east lansing, michigan, usa",,10
71,6689,"east lansing, michigan, usa",,8
72,6689,"east lansing, michigan, usa",,10
73,6689,"east lansing, michigan, usa",,9
74,6884,"north liberty, indiana, usa",25.0,8
75,7064,"sarasota, florida, usa",,8
76,7078,"brookline, new hampshire, usa",,8
77,7119,"rock hill, missouri, usa",66.0,8
78,7188,"athens, georgia, usa",,8
79,7226,"little rock, arkansas, usa",,9
80,7301,"worcester, massachusetts, usa",25.0,10
81,7316,"coralville, iowa, usa",,9
82,7384,"miami, florida, usa",28.0,8
83,7384,"miami, florida, usa",28.0,8
84,7440,"los osos, california, usa",25.0,10
85,7467,"brookline, massachusetts, usa",26.0,10
86,7478,"culver city, california, usa",34.0,8
87,7481,"koeln, nordrhein-westfalen, germany",23.0,10
88,7614,"santa cruz, california, usa",24.0,9
89,7650,"clarksville, tennessee, usa",21.0,10
90,7676,"albuquerque, new mexico, usa",,8
91,7792,"pompton plains, new jersey, usa",60.0,9
92,7820,"saratoga, california, usa",20.0,8
93,7961,"grand island, new york, usa",32.0,8
94,7994,"newport, rhode island, usa",,8
95,8047,"north canton, ohio, usa",,9
96,8135,"huntington, new york, usa",,10
97,8150,"santa ana, california, usa",,8
98,8156,"waterloo, ontario, canada",,8
